Data;Entrada 1;Saída 1;Entrada 2;Saída 2
01 SAB;;;;
02 DOM;;;;
03 SEG;;;;
04 TER;;;;
05 QUA;;;;
06 QUI;;;;
07 SEX;;;;
08 SAB;;;;
09 DOM;;;;
10 SEG;;;;
11 TER;;;;
12 QUA;;;;
13 QUI;;;;
14 SEX;;;;
15 SAB;;;;
16 DOM;;;;
17 SEG;12:00;18:15;;
18 TER;09:00;18:00;;
19 QUA |;??:??;18:00;;
20 QUI;09:00;18:00;;
21 SEX;09:00;18:00;;
22 SAB;;;;
23 DOM;;;;
24 SEG;09:17;18:03;;
25 TER;08:57;18:00;;
26 QUA;??:??;??:??;;
27 QUI;09:00;18:00;;
28 SEX;08:00;17:01;;
29 SAB;;;;
30 DOM;;;;
31 SEG;09:00;15:15;;
01 TER;10:36;16:52;;
02 QUA;10:43;16:58;;
03 QUI;;;;
04 SEX;10:41;16:56;;
05 SAB;;;;
06 DOM;;;;
07 SEG;10:41;16:56;;
08 TER;10:46;17:00;;
09 QUA;10:39;16:55;;
10 QUI;10:41;16:56;;
11 SEX;10:36;16:52;;
12 SAB;;;;
13 DOM;;;;
14 SEG;10:36;16:52;;
15 TER;08:01;14:16;;
16 QUA;10:36;16:51;;
17 QUI;10:45;17:01;;
18 SEX;10:38;16:53;;
19 SAB;;;;
20 DOM;;;;
21 SEG;10:39;16:54;;
22 TER;10:41;16:56;;
23 QUA;10:40;16:55;;
24 QUI;10:39;16:54;;
25 SEX;07:50;16:42;;
26 SAB;;;;
27 DOM;;;;
28 SEG;08:46;15:00;;
29 TER;10:39;16:54;;
30 QUA;10:40;16:55;;
01 QUI;09:51;16:07;;
02 SEX;07:59;16:47;;
03 SAB;;;;
04 DOM;;;;
05 SEG;09:58;16:14;;
06 TER;09:54;16:10;;
07 QUA;??:??;??:??;;
08 QUI;09:52;16:07;;
09 SEX;;;;
10 SAB;;;;
11 DOM;;;;
12 SEG;09:50;16:06;;
13 TER;09:50;16:06;;
14 QUA |;09:50;16:06;;
15 QUI;09:50;16:06;;
16 SEX;09:50;16:06;;
17 SAB;;;;
18 DOM;;;;
19 SEG;09:51;16:06;;
20 TER;09:55;16:11;;
21 QUA;??:??;??:??;;
22 QUI;09:53;16:08;;
23 SEX;09:51;16:08;;
24 SAB;;;;
25 DOM;;;;
26 SEG;09:52;16:07;;
27 TER;09:50;16:06;;
28 QUA;??:??;16:05;;
29 QUI;09:51;16:06;;
30 SEX;09:50;16:05;;
31 SAB;;;;
01 DOM;;;;
02 SEG;09:01;15:59;;
03 TER;08:52;16:16;;
04 QUA;??:??;??:??;;
05 QUI;08:51;15:51;;
06 SEX;;;;
07 SAB;;;;
08 DOM;;;;
09 SEG;08:51;16:04;;
10 TER;08:51;15:49;;
11 QUA |;??:??;15:49;;
12 QUI;08:51;15:49;;
13 SEX;08:51;15:50;;
14 SAB;;;;
15 DOM;;;;
16 SEG;09:50;16:05;;
17 TER;09:51;16:06;09:55;16:10
19 QUI;09:52;16:07;;
20 SEX;09:52;16:07;;
21 SAB;;;;
22 DOM;;;;
23 SEG;09:55;16:10;;
24 TER;09:55;16:10;;
25 QUA;??:??;??:??;;
26 QUI;09:50;16:06;;
27 SEX;09:50;16:05;;
28 SAB;;;;
29 DOM;;;;
30 SEG;09:51;16:06;;
31 TER;09:50;16:05;;
01 QUA;??:??;16:05;;
02 QUI;09:51;16:06;;
03 SEX;08:52;15:42;;
04 SAB;;;;
05 DOM;;;;
06 SEG;08:55;15:47;;
07 TER;;;;
08 QUA;??:??;??:??;;
09 QUI;08:50;15:47;;
10 SEX;08:55;15:51;;
11 SAB;;;;
12 DOM;;;;
13 SEG;09:50;16:05;;
14 TER;09:51;16:06;;
15 QUA;??:??;16:10;;
16 QUI;09:50;16:05;;
17 SEX;09:53;16:08;;
18 SAB;;;;
19 DOM;;;;
20 SEG;09:52;16:07;;
21 TER;09:51;16:06;;
22 QUA;??:??;??:??;;
23 QUI;09:52;16:07;;
24 SEX;09:54;16:09;;
25 SAB;;;;
26 DOM;;;;
27 SEG;09:50;16:05;;
28 TER;09:50;16:05;;
29 QUA;??:??;??:??;;
30 QUI;09:50;16:05;;
